"","year","manufacturer","transmission_type","fuel_type","co2"
"1",2002,"Volvo","Automatic","CNG",183.666666666667
"2",2003,"Volvo","Automatic","CNG",183.666666666667
"3",2004,"Volvo","Automatic","CNG",183.666666666667
"4",2005,"Volvo","Automatic","CNG",181
"5",2006,"Volvo","Automatic","CNG",179.5
"6",2007,"Volvo","Automatic","CNG",179.5
"7",2011,"Volkswagen","Manual","CNG",156.5
"8",2012,"Volkswagen","Manual","CNG",156.5
"9",2013,"Volkswagen","Manual","CNG",156.5
"10",2002,"Volvo","Manual","CNG",165.333333333333
"11",2003,"Volvo","Manual","CNG",165.333333333333
"12",2004,"Volvo","Manual","CNG",165.333333333333
"13",2005,"Volvo","Manual","CNG",164
"14",2006,"Volvo","Manual","CNG",164
"15",2007,"Volvo","Manual","CNG",164
"16",2007,"Alfa Romeo","Automatic","Diesel",200.5
"17",2008,"Alfa Romeo","Automatic","Diesel",201.833333333333
"18",2009,"Alfa Romeo","Automatic","Diesel",201.833333333333
"19",2010,"Alfa Romeo","Automatic","Diesel",199.333333333333
"20",2011,"Alfa Romeo","Automatic","Diesel",119
"21",2012,"Alfa Romeo","Automatic","Diesel",119
"22",2013,"Alfa Romeo","Automatic","Diesel",119
"23",2000,"Audi","Automatic","Diesel",201
"24",2001,"Audi","Automatic","Diesel",222.833333333333
"25",2002,"Audi","Automatic","Diesel",214.285714285714
"26",2003,"Audi","Automatic","Diesel",207.5
"27",2004,"Audi","Automatic","Diesel",198
"28",2005,"Audi","Automatic","Diesel",209.684210526316
"29",2006,"Audi","Automatic","Diesel",207.06
"30",2007,"Audi","Automatic","Diesel",204.428571428571
"31",2008,"Audi","Automatic","Diesel",200.529411764706
"32",2009,"Audi","Automatic","Diesel",186.913793103448
"33",2010,"Audi","Automatic","Diesel",187.142857142857
"34",2011,"Audi","Automatic","Diesel",167.557692307692
"35",2012,"Audi","Automatic","Diesel",149.041666666667
"36",2013,"Audi","Automatic","Diesel",149.377049180328
"37",2000,"BMW","Automatic","Diesel",219.25
"38",2001,"BMW","Automatic","Diesel",224.285714285714
"39",2002,"BMW","Automatic","Diesel",213
"40",2003,"BMW","Automatic","Diesel",206.894736842105
"41",2004,"BMW","Automatic","Diesel",213.181818181818
"42",2005,"BMW","Automatic","Diesel",201.47619047619
"43",2006,"BMW","Automatic","Diesel",200.8
"44",2007,"BMW","Automatic","Diesel",189.65
"45",2008,"BMW","Automatic","Diesel",173.162790697674
"46",2009,"BMW","Automatic","Diesel",168.666666666667
"47",2010,"BMW","Automatic","Diesel",163.767441860465
"48",2011,"BMW","Automatic","Diesel",156.236363636364
"49",2012,"BMW","Automatic","Diesel",148.008928571429
"50",2013,"BMW","Automatic","Diesel",136.619834710744
"51",2006,"Cadillac","Automatic","Diesel",194
"52",2007,"Cadillac","Automatic","Diesel",194
"53",2008,"Cadillac","Automatic","Diesel",187.6
"54",2009,"Cadillac","Automatic","Diesel",186
"55",2010,"Cadillac","Automatic","Diesel",186
"56",2007,"Chevrolet","Automatic","Diesel",233
"57",2008,"Chevrolet","Automatic","Diesel",220
"58",2009,"Chevrolet","Automatic","Diesel",220
"59",2010,"Chevrolet","Automatic","Diesel",209
"60",2011,"Chevrolet","Automatic","Diesel",196.714285714286
"61",2012,"Chevrolet","Automatic","Diesel",184.75
"62",2013,"Chevrolet","Automatic","Diesel",176
"63",2000,"Chrysler Jeep","Automatic","Diesel",308
"64",2001,"Chrysler Jeep","Automatic","Diesel",308
"65",2002,"Chrysler Jeep","Automatic","Diesel",255
"66",2003,"Chrysler Jeep","Automatic","Diesel",263.666666666667
"67",2004,"Chrysler Jeep","Automatic","Diesel",259
"68",2005,"Chrysler Jeep","Automatic","Diesel",239
"69",2006,"Chrysler Jeep","Automatic","Diesel",240.571428571429
"70",2007,"Chrysler Jeep","Automatic","Diesel",247.222222222222
"71",2008,"Chrysler Jeep","Automatic","Diesel",248
"72",2009,"Chrysler Jeep","Automatic","Diesel",244.444444444444
"73",2010,"Chrysler Jeep","Automatic","Diesel",233.9375
"74",2011,"Chrysler Jeep","Automatic","Diesel",200.6
"75",2012,"Chrysler Jeep","Automatic","Diesel",204.2
"76",2013,"Chrysler Jeep","Automatic","Diesel",204.583333333333
"77",2000,"Citroen","Automatic","Diesel",230.75
"78",2001,"Citroen","Automatic","Diesel",172.166666666667
"79",2002,"Citroen","Automatic","Diesel",172.166666666667
"80",2003,"Citroen","Automatic","Diesel",172.166666666667
"81",2004,"Citroen","Automatic","Diesel",172.166666666667
"82",2005,"Citroen","Automatic","Diesel",198
"83",2006,"Citroen","Automatic","Diesel",185.5
"84",2007,"Citroen","Automatic","Diesel",174.090909090909
"85",2008,"Citroen","Automatic","Diesel",184.533333333333
"86",2009,"Citroen","Automatic","Diesel",175.705882352941
"87",2010,"Citroen","Automatic","Diesel",171.894736842105
"88",2011,"Citroen","Automatic","Diesel",147.8
"89",2012,"Citroen","Automatic","Diesel",137.2
"90",2013,"Citroen","Automatic","Diesel",127.038461538462
"91",2000,"Daewoo Cars","Automatic","Diesel",290
"92",2001,"Daewoo Cars","Automatic","Diesel",290
"93",2002,"Daewoo Cars","Automatic","Diesel",297.5
"94",2008,"Dodge","Automatic","Diesel",250
"95",2009,"Dodge","Automatic","Diesel",204
"96",2010,"Dodge","Automatic","Diesel",209
"97",2003,"Fiat","Automatic","Diesel",163.5
"98",2005,"Fiat","Automatic","Diesel",153
"99",2006,"Fiat","Automatic","Diesel",163.5
"100",2009,"Fiat","Automatic","Diesel",118.6
"101",2010,"Fiat","Automatic","Diesel",114.25
"102",2011,"Fiat","Automatic","Diesel",124.4
"103",2012,"Fiat","Automatic","Diesel",124.8
"104",2013,"Fiat","Automatic","Diesel",119.666666666667
"105",2000,"Ford","Automatic","Diesel",229
"106",2001,"Ford","Automatic","Diesel",229
"107",2002,"Ford","Automatic","Diesel",202.75
"108",2003,"Ford","Automatic","Diesel",165.347826086957
"109",2004,"Ford","Automatic","Diesel",202.2
"110",2005,"Ford","Automatic","Diesel",163.92
"111",2006,"Ford","Automatic","Diesel",170.461538461538
"112",2007,"Ford","Automatic","Diesel",138.6
"113",2008,"Ford","Automatic","Diesel",176.285714285714
"114",2009,"Ford","Automatic","Diesel",169.35
"115",2010,"Ford","Automatic","Diesel",166.769230769231
"116",2011,"Ford","Automatic","Diesel",160.833333333333
"117",2012,"Ford","Automatic","Diesel",158.15
"118",2013,"Ford","Automatic","Diesel",154.925
"119",2007,"Honda","Automatic","Diesel",167
"120",2008,"Honda","Automatic","Diesel",167
"121",2009,"Honda","Automatic","Diesel",167
"122",2010,"Honda","Automatic","Diesel",171.833333333333
"123",2011,"Honda","Automatic","Diesel",170.421052631579
"124",2012,"Honda","Automatic","Diesel",169.333333333333
"125",2013,"Honda","Automatic","Diesel",167.4
"126",2001,"Hyundai","Automatic","Diesel",235
"127",2002,"Hyundai","Automatic","Diesel",224
"128",2003,"Hyundai","Automatic","Diesel",237
"129",2004,"Hyundai","Automatic","Diesel",235
"130",2005,"Hyundai","Automatic","Diesel",230.25
"131",2006,"Hyundai","Automatic","Diesel",216.666666666667
"132",2007,"Hyundai","Automatic","Diesel",214.4
"133",2008,"Hyundai","Automatic","Diesel",190.833333333333
"134",2009,"Hyundai","Automatic","Diesel",190.833333333333
"135",2010,"Hyundai","Automatic","Diesel",180.333333333333
"136",2011,"Hyundai","Automatic","Diesel",182.625
"137",2012,"Hyundai","Automatic","Diesel",182
"138",2013,"Hyundai","Automatic","Diesel",176.857142857143
"139",2011,"Infiniti","Automatic","Diesel",220.333333333333
"140",2012,"Infiniti","Automatic","Diesel",220.333333333333
"141",2013,"Infiniti","Automatic","Diesel",224.5
"142",2000,"Isuzu","Automatic","Diesel",289
"143",2001,"Isuzu","Automatic","Diesel",289
"144",2002,"Isuzu","Automatic","Diesel",280
"145",2003,"Isuzu","Automatic","Diesel",275.5
"146",2004,"Isuzu","Automatic","Diesel",275.5
"147",2005,"Isuzu","Automatic","Diesel",275.5
"148",2006,"Isuzu","Automatic","Diesel",275.5
"149",2005,"Jaguar Cars","Automatic","Diesel",208
"150",2006,"Jaguar Cars","Automatic","Diesel",211
"151",2007,"Jaguar Cars","Automatic","Diesel",211
"152",2008,"Jaguar Cars","Automatic","Diesel",211
"153",2009,"Jaguar Cars","Automatic","Diesel",193.833333333333
"154",2010,"Jaguar Cars","Automatic","Diesel",192
"155",2011,"Jaguar Cars","Automatic","Diesel",187.222222222222
"156",2012,"Jaguar Cars","Automatic","Diesel",175.25
"157",2013,"Jaguar Cars","Automatic","Diesel",149.5
"158",2000,"Kia","Automatic","Diesel",240
"159",2001,"Kia","Automatic","Diesel",240
"160",2002,"Kia","Automatic","Diesel",235
"161",2003,"Kia","Automatic","Diesel",218
"162",2004,"Kia","Automatic","Diesel",226
"163",2005,"Kia","Automatic","Diesel",216
"164",2006,"Kia","Automatic","Diesel",218
"165",2007,"Kia","Automatic","Diesel",207.2
"166",2008,"Kia","Automatic","Diesel",198.75
"167",2009,"Kia","Automatic","Diesel",188.7
"168",2010,"Kia","Automatic","Diesel",180.888888888889
"169",2011,"Kia","Automatic","Diesel",175.75
"170",2012,"Kia","Automatic","Diesel",172.4
"171",2013,"Kia","Automatic","Diesel",163.619047619048
"172",2000,"Land Rover","Automatic","Diesel",294
"173",2001,"Land Rover","Automatic","Diesel",276
"174",2002,"Land Rover","Automatic","Diesel",282.2
"175",2003,"Land Rover","Automatic","Diesel",274.333333333333
"176",2004,"Land Rover","Automatic","Diesel",269.4
"177",2005,"Land Rover","Automatic","Diesel",271.25
"178",2006,"Land Rover","Automatic","Diesel",265
